Round,Multi-Hop (DC-MHRM + Q-Learning),Single-Hop (Baseline Placeholder)
611,195.87557703426316,-18817.605032254658
612,195.55937308629035,-18854.502297023784
613,195.24569991789954,-18891.39956179291
614,194.93435379972232,-18928.296826562037
615,194.624594571111,-18965.194091331166
616,194.31806255522068,-19002.091356100293
617,194.00831344046048,-19038.98862086942
618,193.69960058168326,-19075.885885638545
619,193.39031628827885,-19112.78315040767
620,192.99980029907167,-19149.680415176797
621,192.61131165996915,-19186.577679945924
622,192.2244581314186,-19223.47494471505
623,191.83998025109355,-19260.372209484176
624,191.45862270004574,-19297.269474253306
625,191.07829766911917,-19334.166739022432
626,190.69802118885383,-19371.06400379156
627,190.31898149703935,-19407.961268560684
628,189.94438297171925,-19444.858533329814
629,189.571229217964,-19481.75579809894
630,189.19861551257674,-19518.653062868067
631,188.8264995395352,-19555.550327637193
632,188.4531163974503,-19592.44759240632
633,188.07834848342975,-19629.344857175445
634,187.70732193271505,-19666.24212194457
635,187.3389511565235,-19703.139386713698
636,186.97387185187014,-19740.036651482827
637,186.61007108387187,-19776.933916251954
638,186.2494640329066,-19813.83118102108
639,185.88971524833607,-19850.728445790206
640,185.53313817852083,-19887.625710559336
641,185.17526819296015,-19924.522975328462
642,184.8229558595189,-19961.42024009759
643,184.46543964149816,-19998.317504866714
644,184.11267935638216,-20035.21476963584
645,183.7591225544798,-20072.112034404967
646,183.40669390751913,-20109.009299174093
647,183.05252759093813,-20145.90656394322
648,182.69807003654267,-20182.803828712345
649,182.34394245011785,-20219.701093481475
650,181.99125976027688,-20256.5983582506
651,181.6416624144902,-20293.495623019728
652,181.2940994152632,-20330.392887788854
653,180.95073444996095,-20367.290152557984
654,180.60668192842456,-20404.18741732711
655,180.26528291654637,-20441.084682096236
656,179.92626764927672,-20477.981946865362
657,179.58930681615476,-20514.87921163449
658,179.2571619805497,-20551.776476403615
659,178.92661763932793,-20588.67374117274
660,178.59802097203286,-20625.571005941867
661,178.3248352890987,-20662.468270710997
662,178.05260041373924,-20699.365535480123
663,177.78092064180993,-20736.26280024925
664,177.5073329016431,-20773.160065018375
665,177.23484564644897,-20810.057329787505
666,176.96125449370945,-20846.95459455663
667,176.68991867385537,-20883.851859325758
668,176.36325424906974,-20920.749124094884
669,176.0362853897817,-20957.64638886401
670,175.70950191725294,-20994.543653633136
671,175.37924241032545,-21031.440918402262
672,175.04940003575143,-21068.33818317139
673,174.7232591645773,-21105.235447940515
674,174.400423805761,-21142.132712709645
675,174.07848814285063,-21179.02997747877
676,173.75557946729748,-21215.927242247897
677,173.43454496065786,-21252.824507017023
678,173.11428939033698,-21289.721771786153
679,172.795642386686,-21326.61903655528
680,172.47242765851536,-21363.516301324406
681,172.15423485342848,-21400.41356609353
682,171.83595686096044,-21437.310830862658
683,171.51718299622195,-21474.208095631784
684,171.19772696864672,-21511.10536040091
685,170.87779381688114,-21548.002625170036
686,170.56040570545719,-21584.899889939166
687,170.24464347539595,-21621.797154708293
688,169.9294467816958,-21658.69441947742
689,169.61519699459018,-21695.591684246545
690,169.3006051374466,-21732.488949015675
691,168.98674571511063,-21769.3862137848
692,168.67473573195787,-21806.283478553927
693,168.3629802407213,-21843.180743323053
694,168.05034446193167,-21880.07800809218
695,167.74164075990896,-21916.975272861306
696,167.43078102727648,-21953.872537630432
697,167.12180152649475,-21990.769802399558
698,166.81360948927977,-22027.667067168684
699,166.5077185377005,-22064.564331937814
700,166.20056868588918,-22101.46159670694
701,165.89655242421355,-22138.358861476067
702,165.59649498532636,-22175.256126245193
703,165.29566569561186,-22212.153391014323
704,164.99731909419984,-22249.05065578345
705,164.7007736018875,-22285.947920552575
706,164.40449982534753,-22322.8451853217
707,164.1088173313625,-22359.742450090827
708,163.81364914929392,-22396.639714859954
709,163.51968234186933,-22433.53697962908
710,163.22640585783626,-22470.434244398206
711,162.93425943799795,-22507.331509167336
712,162.6396170634033,-22544.228773936462
713,162.34988458567895,-22581.126038705588
714,162.0586635647303,-22618.023303474714
715,161.7654153957291,-22654.920568243844
716,161.47403131993687,-22691.81783301297
717,161.18578323683536,-22728.715097782097
718,160.89714005409445,-22765.612362551223
719,160.60981757596798,-22802.50962732035
720,160.32080294832886,-22839.406892089475
721,160.03433387040852,-22876.3041568586
